Feature ID	Taxon	Confidence
#q2:types	categorical	categorical
26367b8df231270b625deda65c8894a9	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales; g__Phocaeicola	0.9958799238975745
ce65f7bd4fe6af32b8db5493cb9fb48c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9932134462298785
e872b0cddb362e57d8e81db8bff0b0c3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.9727588430766182
0e1b844e10f1bfc5c63e1dca7c9a615c	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	0.9999753509816101
52edfa351c4e02177431fa4a5fd6f0e5	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales; g__Phocaeicola; s__Bacteroides plebeius DSM 17135	0.993685920729055
99e180a2f5e25a226563e96f40bdff2b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9991286189839291
cca5c6c27056ded09811bfdf442e788b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales; g__Phocaeicola	0.9869082683793854
49105a9e0ac7dc25e7235e7e713c2227	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelatoclostridium	0.9867693394922226
493dec0244180c758e1b3bd2f1ea7c4e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9974871510252787
b3694ea4952d8198c51840e0f6b2b6df	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	0.9980535620733606
c298ce8746266ffe04bb3f477e785725	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis	0.9023135218300806
dafbe2da671fc8c790fe92c16f120abe	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__hadrus	0.9998290138158589
74c02a424b5b9504e13ff67256ad6ae3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis	0.9717218302564405
6c7fd647bd8600fa85df6eef9a97a48c	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium; s__faecium	0.9995442751450369
e3a8751ce45672956c6fd92fd2a0c10e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	0.9820253888249589
2ca1060abed5119a399b1aba50f04da5	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__stercoris ATCC 43183	0.8769884666220522
fd034a57b1684efe0cbf6c829df0f70a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999986285093007
