,organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank,samples,reads,relative
0,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17B07,2702,0.16337142511639155
1,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,P17B07,13837,0.8366285748836084
2,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17B08,1761,0.12160762378288792
3,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,P17B08,12720,0.8783923762171121
4,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17B09,2066,0.2974373740282177
5,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,P17B09,4880,0.7025626259717823
6,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17B10,10021,0.4705578512396694
7,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,P17B10,11275,0.5294421487603306
8,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17B11,6652,0.6710380308685564
9,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,P17B11,3261,0.32896196913144354
10,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17B12,549,0.9803571428571428
11,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,P17B12,11,0.019642857142857142
12,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C01,2854,0.1609791866433527
13,Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,P17C01,14875,0.8390208133566474
14,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C02,2188,0.10674732887739669
15,,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,P17C02,18309,0.8932526711226033
16,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C03,2011,0.08902563194475187
17,,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,P17C03,20578,0.9109743680552481
18,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C04,2264,0.22662662662662664
19,Clostridium hiranonis TO-931 DSM 13275,Clostridium hiranonis DSM 13275 (500633.7),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,574.0,1258.0,1011.0,Ines Thiele,08/06/12,89152.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,Peptacetobacter_hiranonis.json,Clostridium hiranonis TO-931 DSM 13275,,Peptacetobacter_hiranonis,species,P17C04,7726,0.7733733733733734
20,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C06,901,0.0736773243928367
21,,,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Positive,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae genus,[Eubacterium] rectale,_Eubacterium__rectale.json,,,_Eubacterium__rectale,species,P17C06,11328,0.9263226756071633
22,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C07,2164,0.19264666607317724
23,"Prevotella copri CB7, DSM 18205",Prevotella copri DSM 18205 (537011.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,1099.0,1634.0,1139.0,Ines Thiele,06/25/12,165179.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella_copri.json,"Prevotella copri CB7, DSM 18205",,Prevotella_copri,species,P17C07,9069,0.8073533339268227
